property_id,listing_id,source_url,source_site,retrieved_at,address,suburb,postcode,price_aud,sold_date,sold_date_listing,date_source_disagrees,sale_method,days_since_epoch,property_type,bedrooms,bathrooms,parking,area_sqm,area_source,area_is_internal,area_multivalued,area_implausible,description,description_wordcount,features,feature_count,agency,agent,seifa_irsad_score,seifa_irsad_decile,seifa_irsd_score,seifa_irsd_decile,seifa_ieo_decile,seifa_ier_decile,suburb_urp_2021,suburb_median_house_3bed,suburb_median_unit_2bed,suburb_sales_12m
1,2021079459,https://www.domain.com.au/69-25-mantaka-street-blacktown-nsw-2148-2021079459,domain.com.au,2026-08-18T06:00:00Z,"69/25 Mantaka Street, Blacktown",Blacktown,2148,419000,2026-08-17,2026-08-17,0,Private treaty,228,Apartment,2,1,1,84.0,index,1,0,0,"A perfect start for the first home buyer or smart investor is this tidy 2-bedroom unit located on the top floor and with a private outlook. Offering two good sized bedrooms with a mirrored built-in wardrobe to the master, original open planned kitchen with dishwasher provision, air conditioned lounge/dining area leading off to a private balcony, tidy bathroom, and single lock up garage.",63,Top floor;Private outlook;Built-in wardrobe;Dishwasher provision;Air conditioned;Private balcony;Lock up garage,7,LJ Hooker Blacktown,Clair Andree-Evarts,965.0325147,4,951.6795741,2,5,2,50961,1060000,464000,805
2,2020551998,https://www.domain.com.au/36-130-main-street-blacktown-nsw-2148-2020551998,domain.com.au,2026-08-18T06:00:00Z,"36/130 Main Street, Blacktown",Blacktown,2148,443000,2026-08-17,,0,,228,Apartment,2,2,1,,none,1,0,0,"Perfectly positioned in the heart of Blacktown, this impressive two-bedroom apartment offering a contemporary lifestyle of comfort and convenience, all within a well-maintained complex. Located on the sixth floor, this home captures elevated views of the district through to Sydney's east and delivers a low-maintenance lifestyle ideal for first home buyers, downsizers, or investors alike.",55,Elevated views;Low-maintenance lifestyle;Sixth floor;Contemporary lifestyle,4,Raine&Horne St Marys / Rooty Hill,Christopher De Souza,965.0325147,4,951.6795741,2,5,2,50961,1060000,464000,805
3,2021021271,https://www.domain.com.au/41-anthony-street-blacktown-nsw-2148-2021021271,domain.com.au,2026-08-18T06:00:00Z,"41 Anthony Street, Blacktown",Blacktown,2148,910000,2026-08-17,2026-07-31,1,Private treaty,228,House,3,1,1,,none,0,0,0,"Presenting an outstanding opportunity for families, renovators, investors and developers, this original single level home. The existing residence offers three generous bedrooms, separate living and dining areas, a dedicated study and abundant outdoor space, providing immediate functionality alongside significant scope to renovate, rebuild or explore a future duplex development subject to council",52,Close to schools;Close to shops;Close to transport;Deck;Floorboards;Split-System Air Conditioning;Study,7,Richard Matthews Real Estate,Vivek Tailor,965.0325147,4,951.6795741,2,5,2,50961,1060000,464000,805
4,2020983459,https://www.domain.com.au/2-31-third-avenue-blacktown-nsw-2148-2020983459,domain.com.au,2026-08-18T06:00:00Z,"2/31 Third Avenue, Blacktown",Blacktown,2148,380000,2026-08-13,,0,,224,Apartment,1,1,1,,none,1,0,0,"Andrew Ienna is proud to present this conveniently located unit, offering an outstanding opportunity for first home buyers, downsizers, and investors seeking a low-maintenance property in the heart of Blacktown. Positioned within moments of everyday conveniences, this well-presented apartment is just a stone's throw away from Westpoint Shopping Centre, Blacktown Girls & Boys High School",55,Air conditioning;Built in wardrobes;Gas;Internal Laundry;Secure Parking;Broadband internet access;Bath;Balcony / Deck,8,Laing+Simmons Blacktown,Andrew Ienna,965.0325147,4,951.6795741,2,5,2,50961,1060000,464000,805
5,2020877255,https://www.domain.com.au/9-8-18-wallace-street-blacktown-nsw-2148-2020877255,domain.com.au,2026-08-18T06:00:00Z,"9/8-18 Wallace Street, Blacktown",Blacktown,2148,491000,2026-08-11,2026-07-01,1,Private treaty,222,Apartment,2,2,1,,none,1,0,0,"This 3-bedroom, 2-bathroom apartment is set on the lower floor of a well-maintained complex, offering a practical layout with modern updates throughout. The open-plan living and dining area connects seamlessly to a private balcony, creating a comfortable space for both everyday living and entertaining. Conveniently located within walking distance to Westpoint Shopping Centre, Blacktown Train",55,Lower floor;Open-plan living;Private balcony;Modern updates;Walking distance to Westpoint Shopping Centre;Walking distance to Blacktown Train,6,Setia Real Estate,Rajesh Setia,965.0325147,4,951.6795741,2,5,2,50961,1060000,464000,805
6,2020942686,https://www.domain.com.au/41-burrell-parade-blacktown-nsw-2148-2020942686,domain.com.au,2026-08-18T06:00:00Z,"41 Burrell Parade, Blacktown",Blacktown,2148,960000,2026-08-11,,0,Auction,222,House,3,1,2,556.0,index,0,0,0,"Fantastic First Home or Investment Opportunity on 556.4sqm Positioned in a quiet pocket of Blacktown and backing onto a peaceful reserve with no rear neighbours, this rejuvenated family home presents an outstanding opportunity for first home buyers, investors or those seeking future potential (STCA). Set on a generous 556.4sqm parcel with a wide 16.4m frontage, the home has been refreshed and prepared for sale, offering comfortable living with scope to",70,Backing onto reserve;No rear neighbours;Wide 16.4m frontage;Refreshed family home,4,Ray White (United Group),Marc Haddad,965.0325147,4,951.6795741,2,5,2,50961,1060000,464000,805
7,2020975715,https://www.domain.com.au/12-glamorgan-street-blacktown-nsw-2148-2020975715,domain.com.au,2026-08-18T06:00:00Z,"12 Glamorgan Street, Blacktown",Blacktown,2148,1030000,2026-08-11,2026-08-11,0,Private treaty,222,House,3,1,1,556.0,index,0,0,0,"Offering space, comfort and everyday convenience, this welcoming family home is set in the sought-after and family-friendly pocket of South Blacktown. Showcasing a functional floorplan with separate living, dining and family rooms, three generous bedrooms, an updated bathroom, and a spacious backyard with room to grow, this is a home designed to suit a variety of lifestyles, all within close",60,Close to schools;Close to shops;Close to transport,3,Starr Partners Blacktown,Mark Vella,965.0325147,4,951.6795741,2,5,2,50961,1060000,464000,805
8,2020979939,https://www.domain.com.au/307-11-13-clifton-street-blacktown-nsw-2148-2020979939,domain.com.au,2026-08-18T06:00:00Z,"307/11-13 Clifton Street, Blacktown",Blacktown,2148,575000,2026-08-11,,0,,222,Apartment,2,2,1,,none,1,0,0,"Spacious 2-Bedroom Apartment with Modern Finishes Throughout + 2020 Built. Situated in a modern and well-maintained complex on a quiet street, Umang and the Urbane Team are proud to present 307/11-13 Clifton Street, Blacktown. This spacious two-bedroom apartment showcases stylish finishes and a practical floor plan designed for comfortable modern living. Offering an exceptional combination of convenience, space, and comfort, it presents an outstanding opportunity for",66,Gas;Secure Parking;Dishwasher;Balcony / Deck;Built in wardrobes,5,Urbane Real Estate,Umang Pokharel,965.0325147,4,951.6795741,2,5,2,50961,1060000,464000,805
9,2020999920,https://www.domain.com.au/57-walters-road-blacktown-nsw-2148-2020999920,domain.com.au,2026-08-18T06:00:00Z,"57 Walters Road, Blacktown",Blacktown,2148,1221000,2026-08-08,,0,Auction,219,House,3,1,1,835.0,index,0,0,0,"Opportunity Knocks in South Blacktown - Must Be Sold! Located within walking distance to premier schools, shops, transport and in one of the districts best areas, rare find is this oversized three bedroom brick veneer family home boasting open plan living areas which offers warm, everyday living and leaves nothing to be desired by way of comfort and appeal! Large 835sqm block with wide 18m frontage - potential subdivision/dual occupancy (subject",71,"Brick veneer;Open plan living;Wide 18m frontage;Potential subdivision/dual occupancy;Walking distance to schools, shops, transport",5,Harcourts Unlimited Real Estate,Andrew Chrysanthou,965.0325147,4,951.6795741,2,5,2,50961,1060000,464000,805
10,2020956124,https://www.domain.com.au/59-walters-road-blacktown-nsw-2148-2020956124,domain.com.au,2026-08-18T06:00:00Z,"59 Walters Road, Blacktown",Blacktown,2148,900000,2026-08-08,2026-08-08,0,Auction,219,House,3,1,1,562.0,index,0,0,0,"Opportunity Knocks in South Blacktown - Must Be Sold! This immaculately presented three-bedroom family home sitting on a large 562.8sqm block with wide frontage is located within walking distance to premier schools, shops, transport and in one of the districts best areas. Once you enter, you feel the warmth and charm the home exudes! With an owner screaming must sell, inspection is a must! Large 562.8sqm block with wide 24.7m frontage - potential",73,Large block with wide frontage;Walking distance to schools and transport;Recently renovated;Family home,4,Harcourts Unlimited Real Estate,Andrew Chrysanthou,965.0325147,4,951.6795741,2,5,2,50961,1060000,464000,805
